Unnamed: 0,POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,READY_TO_MOVE,RESALE,ADDRESS,LONGITUDE,LATITUDE,PRICE
0,Owner,Completed,Not Approved,2,BHK,1300.236407,Ready,Resale,"Ksfc Layout,Bangalore",12.96991,77.59796,55.0
1,Dealer,Completed,Not Approved,2,BHK,1275.0,Ready,Resale,"Vishweshwara Nagar,Mysore",12.274538,76.644605,51.0
2,Owner,Completed,Not Approved,2,BHK,933.1597222,Ready,Resale,"Jigani,Bangalore",12.778033,77.632191,43.0
3,Owner,Completed,Approved,2,BHK,929.9211427,Ready,Resale,"Sector-1 Vaishali,Ghaziabad",28.6423,77.3445,62.5
4,Dealer,Under Construction,Not Approved,2,BHK,999.009247,Not Ready,Resale,"New Town,Kolkata",22.5922,88.484911,60.5
5,Owner,Completed,Not Approved,3,,1250.0,Ready,Resale,"South Chittoor,Kochi",10.03328,76.28257099999999,42.0
6,Dealer,Completed,Not Approved,3,BHK,1495.053957,Ready,Resale,"Sodala,Jaipur",26.916347,75.7956,66.5
7,Owner,Completed,Approved,3,BHK,1181.012946,Ready,Resale,"Kharar,Mohali",30.74,76.65,52.0
8,Dealer,Completed,Approved,2,BHK,1040.0,Ready,Resale,"Bileshivale,Bangalore",13.054202,77.674002,41.6
9,Owner,Completed,Approved,2,,879.1208791000001,Ready,Resale,"Chromepet,Chennai",12.95161,80.14097,36.0
10,Owner,Completed,Not Approved,3,BHK,1350.308642,Ready,Resale,"Deshbandhu Para,Siliguri",26.724219,88.326357,35.0
11,Dealer,Completed,Not Approved,2,BHK,1333.010179,Ready,Resale,"Hebbal,Bangalore",13.04034,77.591347,110.0
12,Owner,Completed,Not Approved,2,BHK,927.1779023,Ready,Resale,"Garebhavipalya,Bangalore",12.96991,77.59796,48.0
13,Owner,Completed,Approved,2,BHK,1122.1719460000002,Ready,Resale,"Sector-119 Noida,Noida",28.587711,77.403123,62.0
14,Owner,Completed,Not Approved,1,BHK,649.9837504,Ready,Resale,"sanjay nagar,Raigad",13.0352,77.5772,20.0
15,Dealer,Under Construction,Approved,3,BHK,1394.117647,Not Ready,Resale,"Sector-150 Noida,Noida",28.429614,77.481711,71.1
16,Owner,Completed,Not Approved,3,BHK,1800.08471,Ready,Resale,"Jharapada,Bhubaneswar",20.275267000000003,85.86240699999999,85.0
17,Dealer,Under Construction,Approved,3,BHK,2124.896706,Not Ready,Resale,"Konanakunte,Bangalore",12.8855,77.5638,180.0
