Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion
41,Yes,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,1,2,Female,3,2,Sales Executive,,Single,19479.0,8,Y,Yes,11,3,1.0,80,0,8,1.0,6,0
49,No,Travel_Frequently,279,Research & Development,8,1,Life Sciences,1,2,3,Male,2,2,Research Scientist,2.0,Married,,1,Y,No,23,4,4.0,80,1,10,3.0,10,1
37,Yes,Travel_Rarely,1373,Research & Development,2,2,Other,1,4,4,Male,2,1,Laboratory Technician,3.0,Single,2396.0,6,Y,Yes,15,3,2.0,80,0,7,3.0,0,0
33,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,1,5,4,Female,3,1,Research Scientist,,Married,23159.0,1,Y,Yes,11,3,3.0,80,0,8,3.0,8,3
27,No,Travel_Rarely,591,Research & Development,2,1,Medical,1,7,1,Male,3,1,Laboratory Technician,,Married,16632.0,9,Y,No,12,3,4.0,80,1,6,3.0,2,2
32,No,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,1,8,4,Male,3,1,Laboratory Technician,,Single,11864.0,0,Y,No,13,3,3.0,80,0,8,2.0,7,3
59,No,Travel_Rarely,1324,Research & Development,3,3,Medical,1,10,3,Female,4,1,Laboratory Technician,1.0,Married,9964.0,4,Y,Yes,20,4,1.0,80,3,12,2.0,1,0
30,No,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,1,11,4,Male,3,1,Laboratory Technician,3.0,Divorced,13335.0,1,Y,No,22,4,2.0,80,1,1,3.0,1,0
38,No,Travel_Frequently,216,Research & Development,23,3,Life Sciences,1,12,4,Male,2,3,Manufacturing Director,3.0,Single,8787.0,0,Y,No,21,4,2.0,80,0,10,3.0,9,1
36,No,Travel_Rarely,1299,Research & Development,27,3,Medical,1,13,3,Male,3,2,Healthcare Representative,3.0,Married,16577.0,6,Y,No,13,3,2.0,80,2,17,2.0,7,7
35,No,Travel_Rarely,809,Research & Development,16,3,Medical,1,14,1,Male,4,1,Laboratory Technician,2.0,Married,16479.0,0,Y,No,13,3,,80,1,6,3.0,5,0
29,No,Travel_Rarely,153,Research & Development,15,2,Life Sciences,1,15,4,Female,2,2,Laboratory Technician,3.0,Single,12682.0,0,Y,Yes,12,3,4.0,80,0,10,3.0,9,0
31,No,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,16,1,Male,3,1,Research Scientist,3.0,Divorced,15170.0,1,Y,No,17,3,4.0,80,1,5,2.0,5,4
34,No,Travel_Rarely,1346,Research & Development,19,2,Medical,1,18,2,Male,3,1,Laboratory Technician,4.0,Divorced,8758.0,0,Y,No,11,3,3.0,80,1,3,3.0,2,1
28,Yes,Travel_Rarely,103,Research & Development,24,3,Life Sciences,1,19,3,Male,2,1,Laboratory Technician,,Single,12947.0,5,Y,Yes,14,3,2.0,80,0,6,3.0,4,0
29,No,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,1,20,2,Female,4,3,Manufacturing Director,,Divorced,10195.0,1,Y,No,11,3,3.0,80,1,10,3.0,10,8
32,No,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,21,1,Male,4,1,Research Scientist,2.0,Divorced,15053.0,0,Y,Yes,12,3,4.0,80,2,7,2.0,6,0
22,No,Non-Travel,1123,Research & Development,16,2,Medical,1,22,4,Male,4,1,Laboratory Technician,4.0,Divorced,7324.0,1,Y,Yes,13,3,2.0,80,2,1,2.0,1,0
53,No,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,23,1,Female,2,4,Manager,4.0,Married,22021.0,2,Y,No,16,3,3.0,80,0,31,3.0,25,3
38,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,1,24,4,Male,3,1,Research Scientist,,Single,4306.0,5,Y,Yes,11,3,3.0,80,0,6,3.0,3,1
24,No,Non-Travel,673,Research & Development,11,2,Other,1,26,1,Female,4,2,Manufacturing Director,3.0,Divorced,8232.0,0,Y,No,18,3,4.0,80,1,5,2.0,4,1
36,Yes,Travel_Rarely,1218,Sales,9,4,Life Sciences,1,27,3,Male,2,1,Sales Representative,1.0,Single,6986.0,7,Y,No,23,4,2.0,80,0,10,,5,0
34,No,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,28,1,Female,3,3,Research Director,,Single,21293.0,0,Y,No,11,3,3.0,80,0,13,3.0,12,2
21,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,1,30,3,Male,3,1,Research Scientist,4.0,Single,19281.0,1,Y,No,14,3,,80,0,0,,0,0
34,Yes,Travel_Rarely,699,Research & Development,6,1,Medical,1,31,2,Male,3,1,Research Scientist,1.0,Single,17102.0,2,Y,No,11,3,3.0,80,0,8,3.0,4,1
53,No,Travel_Rarely,1282,Research & Development,5,3,Other,1,32,3,Female,3,5,Manager,3.0,Divorced,10735.0,4,Y,No,11,3,4.0,80,1,26,2.0,14,4
32,Yes,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,1,33,2,Female,1,1,Research Scientist,,Single,4681.0,1,Y,Yes,22,4,2.0,80,0,10,3.0,10,6
42,No,Travel_Rarely,691,Sales,8,4,Marketing,1,35,3,Male,3,2,Sales Executive,2.0,Married,21173.0,0,Y,No,11,3,4.0,80,1,10,3.0,9,4
44,No,Travel_Rarely,477,Research & Development,7,4,Medical,1,36,1,Female,2,3,Healthcare Representative,4.0,Married,2094.0,3,Y,No,14,3,4.0,80,1,24,3.0,22,5
46,No,Travel_Rarely,705,Sales,2,4,Marketing,1,38,2,Female,3,5,Manager,,Single,22822.0,3,Y,No,12,3,4.0,80,0,22,,2,2
33,No,Travel_Rarely,924,Research & Development,2,3,Medical,1,39,3,Male,3,1,Laboratory Technician,,Single,6670.0,4,Y,No,11,3,4.0,80,0,7,3.0,1,0
44,No,Travel_Rarely,1459,Research & Development,10,4,Other,1,40,4,Male,3,2,Healthcare Representative,4.0,Married,19121.0,2,Y,Yes,13,3,4.0,80,0,9,4.0,4,1
30,No,Travel_Rarely,125,Research & Development,9,2,Medical,1,41,4,Male,2,1,Laboratory Technician,,Single,,1,Y,No,13,3,1.0,80,0,10,3.0,10,1
39,Yes,Travel_Rarely,895,Sales,5,3,Technical Degree,1,42,4,Male,3,2,Sales Representative,,Married,3335.0,3,Y,No,14,3,3.0,80,1,19,4.0,1,0
24,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,1,45,2,Male,3,1,Research Scientist,4.0,Married,3020.0,2,Y,Yes,16,3,1.0,80,1,6,2.0,2,2
43,No,Travel_Rarely,1273,Research & Development,2,2,Medical,1,46,4,Female,4,1,Research Scientist,3.0,Divorced,21923.0,1,Y,No,12,3,4.0,80,2,6,2.0,5,1
50,Yes,Travel_Rarely,869,Sales,3,2,Marketing,1,47,1,Male,2,1,Sales Representative,3.0,Married,3810.0,1,Y,Yes,14,3,3.0,80,0,3,3.0,3,0
35,No,Travel_Rarely,890,Sales,2,3,Marketing,1,49,4,Female,3,1,Sales Representative,4.0,Married,9687.0,1,Y,No,13,3,1.0,80,0,2,3.0,2,2
36,No,Travel_Rarely,852,Research & Development,5,4,Life Sciences,1,51,2,Female,2,1,Research Scientist,1.0,Married,13072.0,9,Y,Yes,14,3,4.0,80,1,6,4.0,1,0
33,No,Travel_Frequently,1141,Sales,1,3,Life Sciences,1,52,3,Female,4,2,Sales Executive,1.0,Married,3193.0,2,Y,No,19,3,1.0,80,2,10,3.0,5,1
35,No,Travel_Rarely,464,Research & Development,4,2,Other,1,53,3,Male,3,1,Laboratory Technician,,Divorced,10910.0,1,Y,No,12,3,3.0,80,1,1,3.0,1,0
27,No,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,1,54,4,Female,3,1,Laboratory Technician,1.0,Divorced,19715.0,1,Y,No,13,3,4.0,80,1,1,3.0,1,0
26,Yes,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,55,1,Male,1,1,Laboratory Technician,3.0,Single,10558.0,1,Y,No,12,3,3.0,80,0,1,2.0,1,0
27,No,Travel_Frequently,994,Sales,8,3,Life Sciences,1,56,4,Male,3,3,Sales Executive,,Single,2975.0,1,Y,No,15,3,4.0,80,0,9,3.0,9,1
30,No,Travel_Frequently,721,Research & Development,1,2,Medical,1,57,3,Female,3,2,Laboratory Technician,,Single,10781.0,1,Y,No,23,4,4.0,80,0,12,,12,3
41,Yes,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,1,58,2,Female,3,5,Research Director,,Married,16280.0,1,Y,No,12,3,4.0,80,0,23,3.0,22,15
34,No,Non-Travel,1065,Sales,23,4,Marketing,1,60,2,Male,3,2,Sales Executive,,Single,10034.0,0,Y,No,20,4,3.0,80,0,10,3.0,9,8
37,No,Travel_Rarely,408,Research & Development,19,2,Life Sciences,1,61,2,Male,3,1,Research Scientist,,Married,10227.0,4,Y,No,21,4,1.0,80,0,8,3.0,1,0
46,No,Travel_Frequently,1211,Sales,5,4,Marketing,1,62,1,Male,3,2,Sales Executive,4.0,Single,20445.0,4,Y,Yes,21,4,3.0,80,0,14,3.0,9,0
35,No,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,1,63,4,Male,4,1,Laboratory Technician,4.0,Married,4892.0,1,Y,No,19,3,4.0,80,0,1,,1,0
48,Yes,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,64,1,Male,2,3,Laboratory Technician,3.0,Single,19294.0,9,Y,Yes,13,3,4.0,80,0,23,3.0,1,0
28,Yes,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,1,65,3,Male,3,1,Laboratory Technician,,Single,11179.0,1,Y,Yes,13,3,3.0,80,0,2,,2,2
44,No,Travel_Rarely,1488,Sales,1,5,Marketing,1,68,2,Female,3,2,Sales Executive,,Divorced,4009.0,5,Y,Yes,21,4,3.0,80,1,9,2.0,4,1
35,No,Non-Travel,1097,Research & Development,11,2,Medical,1,70,3,Male,2,3,Healthcare Representative,,Married,8302.0,2,Y,Yes,13,3,3.0,80,1,10,3.0,4,2
26,No,Travel_Rarely,1443,Sales,23,3,Marketing,1,72,3,Female,2,2,Sales Executive,4.0,Married,,7,Y,Yes,19,3,3.0,80,1,5,2.0,2,0
33,No,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,73,1,Female,3,3,Research Director,4.0,Single,15146.0,1,Y,Yes,12,3,3.0,80,0,15,3.0,15,8
35,No,Travel_Frequently,853,Sales,18,5,Life Sciences,1,74,2,Male,3,3,Sales Executive,,Married,11031.0,1,Y,No,22,4,4.0,80,1,9,2.0,9,1
35,No,Travel_Rarely,1142,Research & Development,23,4,Medical,1,75,3,Female,3,1,Laboratory Technician,1.0,Married,16002.0,3,Y,Yes,15,3,3.0,80,1,4,3.0,2,2
31,No,Travel_Rarely,655,Research & Development,7,4,Life Sciences,1,76,4,Male,3,2,Laboratory Technician,,Divorced,9528.0,3,Y,No,22,4,4.0,80,1,10,2.0,7,1
37,No,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,77,1,Male,2,2,Manufacturing Director,3.0,Divorced,2689.0,1,Y,No,18,3,,80,1,7,,7,0
32,No,Travel_Rarely,427,Research & Development,1,3,Medical,1,78,1,Male,3,2,Manufacturing Director,,Married,10877.0,1,Y,Yes,22,4,2.0,80,1,9,3.0,9,7
38,No,Travel_Frequently,653,Research & Development,29,5,Life Sciences,1,79,4,Female,3,2,Laboratory Technician,,Single,5456.0,1,Y,No,11,3,4.0,80,0,10,3.0,10,9
50,No,Travel_Rarely,989,Research & Development,7,2,Medical,1,80,2,Female,2,5,Research Director,3.0,Divorced,16701.0,5,Y,Yes,12,3,4.0,80,1,29,2.0,27,13
59,No,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,81,1,Female,3,3,Sales Executive,,Single,2354.0,7,Y,No,11,3,4.0,80,0,28,2.0,21,7
36,No,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,1,83,3,Female,3,3,Healthcare Representative,3.0,Divorced,8202.0,1,Y,No,13,3,2.0,80,3,17,3.0,17,12
55,No,Travel_Rarely,836,Research & Development,8,3,Medical,1,84,4,Female,3,4,Manager,3.0,Divorced,19730.0,2,Y,Yes,14,3,,80,3,21,,5,0
36,No,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,1,85,2,Male,2,2,Manufacturing Director,2.0,Single,,1,Y,No,13,3,,80,0,6,3.0,6,0
45,No,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,1,86,2,Male,3,3,Research Scientist,,Divorced,18787.0,2,Y,No,17,3,3.0,80,1,25,,1,0
35,No,Travel_Frequently,664,Research & Development,1,3,Medical,1,88,2,Male,3,1,Research Scientist,,Married,5868.0,4,Y,No,13,3,4.0,80,1,5,2.0,3,1
36,Yes,Travel_Rarely,318,Research & Development,9,3,Medical,1,90,4,Male,2,1,Research Scientist,3.0,Married,21777.0,0,Y,Yes,17,3,1.0,80,1,2,2.0,1,0
